poor_warrior;Плохой воин;x;;;
trained_warrior;Обученный воин;x;;;
skilled_warrior;Опытный воин;x;;;
master_warrior;Грозный воин;x;;;
poor_warrior_desc;Этот персонаж постиг азы боевых искусств, но неаккуратно, самоуверенно и нехотя;x;;;
trained_warrior_desc;Этот персонаж прошел обучение искусству боя. Хоть он далек от вершин, но, в принципе, не так плох в бою.;x;;;
skilled_warrior_desc;Этот персонаж обладает определенным талантом к бою и фехтовани..;x;;;
master_warrior_desc;Этот персонаж является одним из величайших воинов в мире, ему благоволят Боги, прекрасен и ужасен на поле боя.;x;;;
EVTDESCcombat_trait.1;Вы попросили, чтобы [Root.Educator.GetTitledFirstName] научил вас обращаться с мечом.;x;;;
EVTOPTAcombat_trait.1;Палка с заостренным концом!;x;;;
#EVTDESC550101;Вы попросили, чтобы [Root.Educator.GetTitledFirstName] научил вас еще лучше обращаться с мечом.;x;;;
#EVTDESC550103;Вы просите, чтобы [Root.Educator.GetTitledFirstName] помог вам овладеть искусством фехтования!;x;;;
EVTDESCcombat_trait.2;Под моим руководством мой молодой [From.GetRootRelation], [From.GetFirstName], постепенно осваивает искусство фехтования.;x;;;
EVTDESCcombat_trait.3;Мой [GetFromRelation] не улучшил свои навыки фехтования за время тренировок…;x;;;
EVT_OPT_combat_trait.3_ambitious;[From.GetSheHeCap], несмотря на это, показывает обилие амбиций;x;;;
EVT_OPT_combat_trait.3_slothful;По н[From.GetHerHim] даже не видно, что [From.GetSheHe] пытается;x;;;
EVT_OPT_combat_trait.3_brave;Однако [From.GetSheHe] мужествен[From.GetNaEn];x;;;
EVT_OPT_combat_trait.3_ruthless;Тем не менее, [From.GetSheHe] готов[From.GetEndA] стремиться улучшать навыки;x;;;
EVT_OPT_combat_trait.3_intrigue;[From.GetSheHeCap] кажется хитрым бойцом, хотя...;x;;;
EVT_OPT_combat_trait.3_maimed;Хуже того, [From.GetSheHe] упал[From.GetEndA] с коня и сильно пострадал[From.GetEndA];x;;;
EVT_OPT_combat_trait.3_wounded;Ещё хуже, вы были слишком увлечены и [From.GetRootRelation] был[From.GetEndA] ранен[From.GetEndA];x;;;
EVT_OPT_combat_trait.3_diligent;Даже если [From.GetHerHis] навыки не улучшились, [From.GetSheHe] показывает много решимости;x;;;
EVT_OPT_combat_trait.3_no_progress;Может быть, в следующий раз [From.GetSheHe] станет лучше;x;;;
