#CODE;ENGLISH;x;;;
free_folk;Вольный народ;x;;;
free_folk_FEATURES;§Y*§! Племенная культура\n§Y*§! Отсталая культура, войска менее эффективны\n§Y*§! Уроженцы земель склонны к восстаниям\n§Y*§! Традиционно против рабства\n§Y*§! Более устойчивы к воздействию суровой зимы;x;;;
wildling;Одичалые;x;;;
skagosi;Скагосская;x;;;
thenn;Теннская;x;;;
#thenn_FEATURES;;x;;;
mountain_clans;Горно-клановая;x;;;
moon_clansman;Горно-клановая;x;;;
moon_clansman_FEATURES;§Y*§! Племенная культура§Y*§! Могут свободно кастрировать и ослеплять пленников;x;;;
first_men;Первые люди;x;;;
first_men_FEATURES;§Y*§! НЕ могут брать любовников в качестве наложниц\n§Y*§! Традиционно против рабства\n§Y*§! Более устойчивы к воздействию суровой зимы;x;;;
old_first_man;Первые люди;x;;;
old_first_man_FEATURES;§Y*§! - отсталая культура, войска менее эффективны;x;;;
northman;Северная;x;;;
hill_clansman;Холмовая;x;;;
crannogman;Озерная;x;;;
half_southron;Полуюжная;x;;;
andal;Андалы;x;;;
andal_FEATURES;§Y*§! НЕ могут брать любовников в качестве наложниц\n§Y*§! Традиционно против рабства;x;;;
riverlander;Речная;x;;;
westerman;Западная;x;;;
valeman;Долинная;x;;;
crownlander;Королевская;x;;;
stormlander;Штормовая;x;;;
reachman;Просторская;x;;;
sisterman;Сестринская;x;;;
old_andal;Андалы;x;;;
dornish_andal;Дорнийская;x;;;
iron_isles_culture;Железорождённые;x;;;
iron_isles_culture_FEATURES;§Y*§! Могут отправляться в морские набеги;x;;;
ironborn;Железорождённые;x;;;
old_ironborn;Железорождённые старого пути;x;;;
old_ironborn_FEATURES;§Y*§! - отсталая культура, войска менее эффективны;x;;;
dornish;Дорнийская;x;;;
dornish_FEATURES;§Y*§! Могут брать любовников в качестве наложниц\n§Y*§! Традиционно против рабства;x;;;
stone_dornish;Каменно-дорнийская;x;;;
sand_dornish;Песчано-дорнийская;x;;;
salt_dornish;Солёно-дорнийская;x;;;
rhoynar;Ройнарская;x;;;
valyrian;Валирийская;x;;;
high_valyrian;Высшая валирийская;x;;;
high_valyrian_FEATURES;§Y*§! Традиционная рабовладельческая культура\n§Y*§! Династии Таргаренов и Блэкфайров могут образовывать браки между близкими родственниками;x;;;
western_valyrian;Вестеросские валирийцы;x;;;
eastern_valyrian;Эссоские валирийцы;x;;;
eastern_valyrian_FEATURES;§Y*§! Традиционная рабовладельческая культура;x;;;
free_cities;Эссоская;x;;;
pentosi;Пентошийская;x;;;
pentosi_FEATURES;§Y*§! Традиционная рабовладельческая культура;x;;;
braavosi;Браавосийская;x;;;
braavosi_FEATURES;§Y*§! Традиционно против рабства;x;;;
lysene;Лиссенийская;x;;;
lysene_FEATURES;§Y*§! Традиционная рабовладельческая культура;x;;;
qohorik;Квохорская;x;;;
qohorik_FEATURES;§Y*§! Традиционная рабовладельческая культура;x;;;
norvosi;Норвосская;x;;;
norvosi_FEATURES;§Y*§! Традиционная рабовладельческая культура;x;;;
myrman;Мирийская;x;;;
myrman_FEATURES;§Y*§! Традиционная рабовладельческая культура;x;;;
tyroshi;Тирошийская;x;;;
